review_date,recommendation_week,rules_version,recommendations_count,entries_count,no_entry_count,wins,losses,win_rate,average_return,median_return,average_gain,average_loss,payoff_ratio,profit_factor,expectancy,max_gain,max_loss,average_mfe,average_mae,target_reach_rate,stop_reach_rate,notes,report_file
2026-08-10,2026-07-21,v0.1.0,3,3,0,3,0,100.00,2.26,1.47,2.26,,,N/A,2.26,4.86,0.47,8.48,-0.61,100.00,0.00,"予定退出時リターンで集計。全3件がTarget1先行、損失なしのためPayoff RatioとProfit Factorは算定不能。20営業日固定リターンは2026-08-24にevaluations.csvへ追記",reports/reviews/2026-08-10.md
2026-08-31,2026-08-10,v0.1.1,3,0,3,0,0,,,,,,,N/A,,,,,,,,"10営業日時点の暫定評価。20営業日は未到来。3件とも反発確認トリガー未成立で未約定",reports/reviews/2026-08-31.md
2026-09-07,2026-08-17,v0.1.1,3,0,3,0,0,,,,,,,N/A,,,,,,,,"10営業日時点の暫定評価。三菱電機とMUFGは条件成立前に無効、オリエンタルランドも反発確認後の帯内始値がなく未約定。20営業日は未到来",reports/reviews/2026-09-07.md
2026-09-07,2026-08-24,v0.1.1,4,0,4,0,0,,,,,,,N/A,,,,,,,,"5営業日時点の暫定評価。本田技研とJTは帯内反発後の翌営業日始値が帯外、INPEXと武田薬品は帯未到達で全4件未約定",reports/reviews/2026-09-07.md
2026-09-14,2026-08-10,v0.1.1,3,0,3,0,0,,,,,,,N/A,,,,,,,,"20営業日の最終評価。3件とも当初保有期限まで反発確認トリガー未成立。期限後の値動きは戦略損益へ算入しない",reports/reviews/2026-09-14.md
2026-09-14,2026-08-24,v0.1.1,4,0,4,0,0,,,,,,,N/A,,,,,,,,"10営業日時点の暫定評価。本田技研とJTは帯内反発後の翌営業日始値が帯外、INPEXは帯内陰線、武田薬品は帯未到達",reports/reviews/2026-09-14.md
2026-09-14,2026-08-31,v0.1.1,3,0,3,0,0,,,,,,,N/A,,,,,,,,"5営業日時点の暫定評価。富士通、コマツ、みずほFGはいずれも指定帯未到達で未約定",reports/reviews/2026-09-14.md
2026-09-21,2026-08-17,v0.1.1,3,0,3,0,0,,,,,,,N/A,,,,,,,,"20営業日の最終評価。三菱電機とMUFGは条件成立前に無効、オリエンタルランドは反発確認後の帯内始値がなく未約定",reports/reviews/2026-09-21.md
2026-09-21,2026-08-31,v0.1.1,3,1,2,1,0,100.00,7.08,7.08,7.08,,,N/A,7.08,7.08,7.08,9.66,-1.40,100.00,0.00,"富士通は9月10日始値3716円で仮定約定しTarget1到達、9月18日予定退出3979円で+7.08%。コマツとみずほFGは未約定",reports/reviews/2026-09-21.md
2026-09-21,2026-09-07,v0.1.1,3,0,3,0,0,,,,,,,N/A,,,,,,,,"5営業日時点の暫定評価。3件とも帯内陽線後の翌営業日始値が帯上限を超え、未約定",reports/reviews/2026-09-21.md
